"","VP","SessionDuration","Count.ButtonTouchedPerSession","Count.MissedButtonPerSession","MeanPerSession.Count.ButtonTouchedPerInteraction","MeanPerSession.Count.ButtonTouchedPerTask","MeanPerSession.Count.CorrectButtonTouchedPerTask","time_between_touches.mean","difference.touch_buttonCenter_y.mean","touchAccuracy.mean","touchAccuracy_x.mean","swipe_length.sd","swipe_length.median","swipe_speed.median","time_between_touches.median","touchAccuracy.median","touchAccuracy_x.median","touchAccuracy_y.median","touch.duration.mad","swipe_length.mad","swipe_speed.mad","time_between_touches.mad","difference.touch_buttonCenter_x.mad","touchAccuracy_x.mad","touchAccuracy_y.mad","touch.duration.min","swipe_speed.min","time_between_touches.min","difference.touch_buttonCenter_x.min","difference.touch_buttonCenter_y.min","touchAccuracy.min","swipe_length.max","swipe_speed.max","difference.touch_buttonCenter_x.max","difference.touch_buttonCenter_y.max","touchAccuracy.max","touch.duration.skew","swipe_length.skew","swipe_speed.skew","time_between_touches.skew","touchAccuracy.skew","touchAccuracy_x.skew","touchAccuracy_y.skew","swipe_length.kurtosis","swipe_speed.kurtosis","difference.touch_buttonCenter_x.kurtosis","touch.duration.se","swipe_length.se","swipe_speed.se","difference.touch_buttonCenter_x.se","Age","neuro","extra","open","agree","con","source","Gender","Handedness","Condition"
"3",3,125.569000005722,0.60524492507336,0.0716737411271085,0.988235294117647,1.11764705882353,1.01176470588235,1.73154119042789,-6.25882293336532,0.124408164460139,0.000168084259651722,188.597665526527,376.837166426031,1053.7131702108,0.651999950408936,-0.0457142867847362,0.228571449493876,-0.157142842789085,0.0948865922927856,212.385510325622,404.714688031869,0.231285450124741,14.826,0.423600007213865,0.381240006492479,0.00599980354309082,0,0.0770001411437988,-130.999999403954,-138.499999403954,-0.562040824035166,889.683651642537,1860.30629266683,40.5000005960464,25.0000005960464,7.80122465454108,-0.122056522948354,0.130804568990534,-0.322814777099828,8.38220096715984,6.32081723431845,-2.62188206658964,-4.06415182394535,-0.418481198452601,-0.106132296364871,6.7846050430301,0.0135149053347322,20.4562889630997,40.2747015242872,3.65519750160584,24,36,26,39,36,27,"old","F","RIGHT","1"
"4",3,129.587999820709,0.617341112685462,0.0385838195428414,0.988235294117647,1.07058823529412,0.988235294117647,1.69670588549446,-7.21764646277708,-0.386259309842193,0.619327758669424,172.346869714077,491.467191173531,1231.15663872798,0.628000020980835,-0.0261224430573572,0.271428593080871,-0.171428557318084,0.10971257815361,152.986013887709,268.777183831881,0.152707689714432,12.6021,0.360060006131785,0.338880005771092,0.0169999599456787,0,0.282000064849854,-29.9999994039536,-196.499999403954,-97.3677582186305,815.737856176848,1963.64774948643,607.000000596046,193.500000596046,68.8702067336328,-0.304460682307012,-0.598463282954156,-0.968499259687084,8.2046638882596,-3.09933921415761,6.1623445003907,0.438839412122698,0.0629843355285931,1.75369432626767,38.5964108688198,0.0118355098314542,18.6936426753436,37.1988851125952,8.70772181339278,24,36,26,39,36,27,"old","F","RIGHT","1"
"5",4,120.464999914169,0.838417798297947,0.0498069979186899,1,1.01869158878505,1,1.71499066263716,-7.72429846937411,-0.803305384077132,0.38571430931286,173.564721099474,433.503171845374,1313.54806378285,0.519999980926514,-0.00122448959433968,0.214285734964877,-0.21428570090508,0.0948865922927856,178.516450735711,363.063531485329,0.134916718769073,11.8608,0.338880005771092,0.338880005771092,0.0499999523162842,566.250555713314,0.0859999656677246,-28.4999994039536,-244.499999403954,-91.9120438417333,909.058853980313,2393.8485603891,460.500000596046,57.0000005960464,7.28204116823375,0.635032087133135,0.348133788990999,0.342723241974859,9.91742339721923,-9.94700186144739,7.82510178629185,-5.74626040683891,-0.196382108633089,0.223161775135198,68.7572571484571,0.0108464306161215,16.7791349097895,32.8578556063445,4.6288066302192,20,8,25,29,32,37,"old","M","RIGHT","1"
"9",5,122.180000066757,0.77754133203547,0.204616140009334,0.816666666666667,0.816666666666667,0.816666666666667,3.40763334035873,6.13333392937978,1.12578065637892,0.164761924597682,217.469368931359,394.487085856434,1384.44373071729,0.476000070571899,0.00275510079659134,0.142857162319884,0.057142875145893,0.0919212537288666,206.679813223766,406.792772194059,0.214976971721649,14.826,0.423600007213865,0.434190007394212,0.00799989700317383,0,0.224999904632568,-325.999999403954,-224.999999403954,-55.0873488729411,771.634142583129,2309.6305956596,585.000000596046,207.000000596046,69.1328598011271,-0.381234368282052,-0.378702858860129,-0.805052119362473,10.6763074719601,1.85551545146053,2.28253010828041,0.593656661593723,-0.847614586268421,-0.391825874337028,12.7628370458232,0.0108731381332075,19.8521464883531,57.7848213319951,10.0442559454479,29,14,24,36,39,29,"old","F","RIGHT","1"
"10",5,115.617000102997,0.847626213382954,0.190283435657398,0.833333333333333,0.9,0.858333333333333,1.08633332252502,14.7000005960464,-1.27051874183213,0.104047637849438,233.172764811737,396.083271344512,1494.86724141894,0.412999868392944,-0.00336734741839279,0.128571447790886,-0.0357142692925976,0.090438584446907,234.375413099539,453.825083254339,0.177170584058762,17.42055,0.497730008476292,0.328290005590746,0.0329999923706055,0,0.200999975204468,-355.999999403954,-138.999999403954,-117.116738659981,939.978989126885,2520.0515406196,555.500000596046,403.000000596046,90.4244932331428,0.727775697185323,-0.109261870419999,-0.83544395931298,10.3783259717977,-1.89298635086612,1.40555820643628,3.16817746902295,-0.681999706721333,-0.328101977252281,8.02705719596053,0.0108781800245166,21.2856638472059,62.8776304524538,10.9484007237601,29,14,24,36,39,29,"old","F","RIGHT","1"
"14",6,124.720999956131,0.529181132473398,0.00801789594656663,1,1,1,2.01514928020648,-7.35074567261027,-0.0359031393851566,0.163752685063793,155.011135305013,361.986878215219,843.690111789493,0.515000104904175,-5.59553798152048e-09,0.114285733261887,-0.242857129963077,0.124538210535049,162.650632083343,224.254721360539,0.155673028278351,12.6021,0.360060006131785,0.275340004689012,0.176000118255615,366.873217984514,0.252000093460083,-15.9999994039536,-27.9999994039536,-0.673469403151521,696.351922521939,1265.38611649061,37.5000005960464,18.5000005960464,0.2642857408037,0.949303908906369,0.143863838340361,0.0152729154587906,6.05923647559378,-1.80766280198318,0.406653981697028,0.271436806205664,-0.672885192072654,-0.502116345685067,-0.554621336569547,0.0179426612667969,18.9376242692535,25.1776197128697,1.45310878542075,28,15,27,43,38,36,"old","F","RIGHT","1"
"16",6,128.075999975204,0.54655048575496,0.0156157281644274,1,1.02777777777778,1,1.7558611035347,-7.98611051506466,0.00693593751855156,0.00734128699618972,169.427152256477,405.966543086538,951.477566724256,0.507500052452087,0.0142857147722831,0.0285714460878959,-0.271428559021074,0.122314471721649,154.552079760459,236.492250027937,0.153449112725258,15.93795,0.455370007754905,0.338880005771092,0.0379998683929443,0,0.236999988555908,-43.4999994039536,-32.9999994039536,-0.409387762963598,813.570064591858,1452.80383521779,34.5000005960464,15.0000005960464,0.375510195948987,2.78387546095434,-0.115993408252446,-0.573324930082189,5.90644189282239,-0.531563580487174,-0.291182882830704,0.163612193955248,-0.201843267607413,1.11860381343102,0.730332277984351,0.0276176026823319,19.9671813796134,30.8090625174032,1.70438519655478,28,15,27,43,38,36,"old","F","RIGHT","1"
"17",7,123.213000059128,0.681746243981477,0.113624373996913,0.938775510204082,1.08163265306122,0.938775510204082,1.92472164655469,-24.0765300161985,-2.94358609982304,1.05583093880068,200.794515564231,398.27534445406,1534.03943321264,0.502000093460083,-0.0175510242902849,0.257142878551873,-0.249999987227576,0.0785777604103088,200.921646810501,521.586597165556,0.237216127252579,15.5673,0.444780007574558,0.455370007754905,0.0299999713897705,0,0.101999998092651,-26.9999994039536,-413.999999403954,-117.440820358898,770.896393816964,2492.34721052953,783.500000596046,241.000000596046,154.141638401584,-0.129022449726333,-0.262306704003767,-0.875485506946735,9.3502895826896,0.208233339248715,4.32475569951736,-2.74263649350637,-0.627986365693323,0.471647313682295,20.5651904901864,0.00941386711567498,20.3875941358005,62.3879402524285,11.5357503903252,23,33,23,30,37,27,"old","F","RIGHT","1"
"19",7,129.675999879837,0.701748975017152,0.208211234345749,0.915254237288136,1.06779661016949,0.932203389830508,1.338559318397,-11.1752130791672,1.44470789377239,1.06593410111671,218.332278847973,398.796409046053,1509.61497283408,0.432999968528748,-0.03265307109488,0.242857164022874,-0.228571415434078,0.0963689080953598,238.187665673832,612.559511778311,0.154931428527832,19.2738,0.550680009378025,0.465960007935252,0.0169999599456787,0,0.101999998092651,-94.4999994039536,-356.499999403954,-52.3085730948741,829.014475145036,2590.07628381747,805.000000596046,181.500000596046,114.671432953708,-0.246811194150491,-0.211804912764318,-0.631967042339051,9.95533809015719,5.01397387390629,3.82759607680047,-1.39922838260383,-0.881279789536284,-0.627837786233547,15.1993143486132,0.00971115532779405,20.0991154175343,66.7712812733665,12.7157216005828,23,33,23,30,37,27,"old","F","RIGHT","1"
"21",8,127.654000043869,0.846036943322459,0.0626694032090711,1,1.28448275862069,1.14655172413793,28.4754649003347,-4.19396492119493,-1.56650955483729,0.0534482938021865,196.831830668261,409.132358152825,1360.78693244882,0.422500014305115,-0.0557142871253342,0.28571430760987,-0.278571416285573,0.101558162212372,209.683899406203,413.759804635799,0.177912007069588,12.97275,0.370650006312132,0.423600007213865,0.00799989700317383,0,0.180999994277954,-675.999999403954,-90.4999994039536,-155.617964675698,957.513054741292,2219.55169971133,62.5000005960464,282.000000596046,4.94897983800566,0.213913958510913,-0.0822306932867986,-0.851550275197396,10.3975216712019,-10.2293286304536,-8.38062629163967,5.50326351177637,-0.387558986604322,0.798810171399328,76.2240601680455,0.010787116877184,18.4349899871544,43.4247026215665,6.46057737325884,31,31,18,25,27,28,"old","F","RIGHT","1"
